Depth,Na,Mg,Al,Si,P,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe
10575,1.12,2.25,3.82,12.93,0.01,0.17,2.40,4.24,0.13,0.35,0.12,0.21,0.04,2.20
10575.5,0.05,0.00,0.46,5.40,19.75,0.00,0.04,12.99,0.00,0.05,0.01,0.01,0.01,0.39
10576,2.62,9.22,1.64,2.08,0.88,19.62,0.00,8.76,0.00,0.10,0.02,0.02,0.03,20.06
10576.5,0.49,0.76,1.89,13.77,2.35,0.46,0.59,9.47,1.30,0.18,0.01,0.01,0.02,1.14
10577,0.02,0.00,2.30,7.94,22.23,0.00,0.56,17.00,0.05,0.13,0.01,0.01,0.02,1.13
10578.5,0.12,0.00,1.41,5.55,9.84,0.41,0.44,16.62,0.00,0.13,0.01,0.01,0.02,1.76
10579,0.15,0.11,1.36,6.48,6.08,0.38,0.42,16.47,1.82,0.14,0.00,0.01,0.02,0.87
10579.5,0.00,0.00,1.52,6.06,15.91,0.15,0.35,20.38,0.27,0.12,0.01,0.01,0.02,1.18
10580,0.02,0.00,1.92,6.76,3.79,1.21,0.55,16.94,0.10,0.17,0.01,0.01,0.02,2.62
10580.5,0.35,1.15,0.90,5.87,1.06,0.72,0.28,21.57,0.12,0.10,0.01,0.01,0.02,1.55
10581,0.34,0.72,0.51,4.13,1.37,0.41,0.19,24.38,0.00,0.07,0.01,0.00,0.02,0.86
10581.5,0.03,0.00,0.45,3.30,1.32,0.79,0.16,26.28,0.37,0.07,0.00,0.00,0.02,0.93
10582,0.06,0.00,0.71,3.69,1.62,0.15,0.22,26.84,0.00,0.05,0.01,0.00,0.02,0.57
10582.5,0.05,0.00,2.14,7.39,25.66,0.06,0.51,17.52,0.11,0.19,0.01,0.02,0.02,1.71
10583,0.04,0.00,1.60,5.59,14.85,0.00,0.38,20.03,0.02,0.13,0.01,0.01,0.02,1.05
10583.5,0.23,0.12,4.72,10.84,7.43,0.93,1.46,9.67,0.16,0.33,0.01,0.02,0.02,2.35
10584,0.10,0.02,3.01,6.51,53.65,0.00,0.62,18.34,0.10,0.17,0.00,0.02,0.02,1.32
10584.5,0.13,0.18,1.18,2.93,75.98,0.00,0.06,25.43,0.06,0.03,0.01,0.01,0.02,0.44
10585,0.29,0.53,1.32,3.27,94.73,0.00,0.05,22.69,0.00,0.02,0.01,0.01,0.02,0.48
10585.5,0.05,0.23,1.32,4.14,24.57,0.13,0.22,24.92,0.03,0.10,0.01,0.01,0.02,1.66
10586,0.10,0.07,0.63,3.56,3.85,0.52,0.21,26.06,0.00,0.05,0.01,0.01,0.02,1.18
10586.5,0.09,0.11,0.44,2.88,2.74,0.58,0.15,27.85,0.00,0.04,0.01,0.00,0.02,1.19
10587,0.08,0.00,0.30,2.40,4.33,0.00,0.08,25.07,0.00,0.01,0.01,0.00,0.01,0.42
10588,0.19,0.30,0.11,1.86,0.32,0.12,0.09,29.83,0.00,0.02,0.01,0.00,0.01,0.35
10588.5,0.30,0.53,0.06,1.61,0.08,0.13,0.06,29.70,0.00,0.01,0.01,0.00,0.01,0.31
10589,0.23,0.43,0.69,3.05,0.63,0.15,0.24,27.95,0.00,0.05,0.01,0.01,0.02,0.44
10589.5,0.02,0.00,0.29,2.64,0.24,0.17,0.16,26.55,0.00,0.03,0.01,0.00,0.02,0.39
10590,0.19,0.12,0.10,1.79,0.00,0.17,0.06,29.86,0.00,0.02,0.01,0.00,0.02,0.33
10591,0.16,0.10,0.01,1.46,0.38,0.07,0.19,30.10,0.00,0.01,0.01,0.00,0.01,0.29
10591.5,0.28,1.20,0.93,2.19,66.86,0.00,0.06,25.83,0.00,0.02,0.01,0.01,0.02,0.47
10592,0.16,0.07,0.13,2.25,1.22,0.16,0.08,27.59,0.00,0.03,0.01,0.00,0.02,0.45
10592.5,0.06,0.17,1.19,3.24,45.07,0.00,0.15,24.92,0.01,0.04,0.01,0.01,0.02,0.63
10593,0.44,1.40,0.11,2.20,0.80,0.14,0.07,27.00,0.00,0.03,0.01,0.00,0.01,0.42
10593.5,0.00,0.00,1.02,2.88,36.84,0.00,0.13,25.17,0.00,0.04,0.01,0.01,0.02,0.43
10594,0.00,0.00,0.51,2.61,14.36,0.00,0.06,27.91,0.00,0.02,0.01,0.00,0.02,0.35
10594.5,0.02,0.00,1.24,3.58,24.31,0.00,0.17,21.93,0.00,0.04,0.01,0.01,0.02,0.48
10595,0.33,0.42,0.29,3.00,0.23,0.22,0.13,25.95,0.00,0.04,0.01,0.00,0.01,0.48
10595.5,0.03,0.00,0.78,2.89,9.30,0.00,0.16,23.86,0.00,0.03,0.01,0.01,0.02,0.63
10596,0.07,0.17,1.06,4.78,12.41,0.00,0.27,23.74,0.01,0.08,0.01,0.01,0.02,0.82
10596.5,0.02,0.00,1.18,3.47,38.01,0.00,0.23,24.47,0.00,0.09,0.01,0.01,0.02,0.66
10597,0.07,0.00,0.03,1.51,0.60,0.10,0.03,30.73,0.00,0.01,0.01,0.00,0.01,0.36
10598.5,0.08,0.04,0.87,3.27,26.84,0.00,0.11,25.15,0.00,0.04,0.01,0.01,0.02,0.41
10599,0.42,0.90,0.23,2.47,0.52,0.09,0.09,30.94,0.00,0.03,0.01,0.00,0.02,0.36
10599.5,0.56,1.20,0.26,2.60,0.35,0.47,0.12,29.27,0.00,0.03,0.01,0.00,0.02,0.70
10600,0.63,1.49,1.02,5.46,0.53,0.40,0.36,22.51,0.06,0.11,0.01,0.01,0.02,0.80
10600.5,0.62,1.80,0.28,2.79,0.39,0.19,0.15,28.83,0.00,0.02,0.01,0.00,0.02,0.43
10601,0.63,1.26,0.00,1.52,0.01,0.18,0.28,31.63,0.00,0.01,0.01,0.00,0.01,0.29
10601.5,0.34,0.49,0.80,4.29,0.27,0.65,0.30,26.94,0.04,0.09,0.01,0.01,0.02,0.92
10602,0.22,0.00,0.17,2.59,2.07,0.00,0.08,30.01,0.00,0.03,0.01,0.00,0.02,0.35
10602.4,1.14,2.98,4.30,13.84,0.07,1.05,1.58,7.18,0.12,0.36,0.02,0.02,0.02,1.93
10602.6,0.32,0.72,1.19,5.23,3.47,0.18,0.38,22.52,0.04,0.10,0.01,0.01,0.02,0.79
10603,0.42,0.81,0.00,1.64,0.00,0.15,0.04,31.27,0.00,0.01,0.01,0.00,0.01,0.32
10603.5,0.58,1.35,0.56,4.28,1.82,0.13,0.18,23.27,0.00,0.05,0.01,0.00,0.01,0.45
10604,0.78,1.51,1.67,7.67,0.48,0.76,0.63,17.10,0.07,0.15,0.02,0.01,0.02,1.20
10604.5,0.53,0.96,0.35,2.76,0.01,0.27,0.13,28.19,0.00,0.03,0.01,0.00,0.02,0.42
10606,0.79,1.53,1.62,7.79,0.21,0.86,0.63,15.57,0.08,0.16,0.03,0.01,0.02,1.26
10606.5,0.51,0.82,0.16,2.76,0.00,0.25,0.11,26.75,0.00,0.03,0.01,0.00,0.02,0.42
10607,0.95,2.15,2.77,10.61,0.09,1.16,1.03,11.31,0.14,0.25,0.03,0.01,0.02,1.95
10607.5,0.71,1.50,0.51,3.54,0.00,0.50,0.17,22.81,0.00,0.05,0.01,0.00,0.01,0.81
10608,1.08,1.75,0.21,3.15,0.23,0.35,0.25,12.74,0.08,0.07,0.01,0.00,0.01,0.85
10608.5,0.64,1.47,0.06,2.70,0.95,0.18,0.06,26.34,0.11,0.01,0.01,0.00,0.01,0.37
10609,0.65,1.55,0.26,3.48,0.14,0.40,0.15,25.51,0.02,0.04,0.01,0.00,0.01,0.60
10609.5,0.65,1.51,0.00,1.41,0.00,0.16,0.01,31.07,0.00,0.01,0.01,0.00,0.01,0.31
10610,0.63,1.66,0.02,1.93,0.13,0.24,0.07,30.78,0.00,0.02,0.01,0.00,0.02,0.33
10610.5,0.28,0.69,1.13,5.51,9.62,0.07,0.36,21.39,0.10,0.11,0.01,0.01,0.02,0.85
10611,0.57,1.25,0.35,2.76,0.00,0.64,0.16,27.00,1.96,0.12,0.00,0.00,0.02,0.49
10611.5,0.34,0.48,0.00,1.37,0.00,0.20,0.00,30.77,0.00,0.01,0.01,0.00,0.02,0.37
10612,0.54,0.82,0.00,1.70,0.00,0.21,0.02,29.13,0.00,0.01,0.01,0.00,0.01,0.34
10612.5,0.44,0.97,0.07,1.57,0.00,0.21,0.06,32.68,0.01,0.02,0.01,0.00,0.02,0.34
10613,0.57,1.36,0.00,1.41,0.00,0.20,0.00,30.73,0.01,0.01,0.01,0.00,0.01,0.36
10613.5,0.58,0.99,0.00,1.27,0.00,0.09,0.00,29.27,0.00,0.01,0.01,0.00,0.01,0.27
